thread,ht,func,L1-dcache-load-misses,L1-dcache-loads,cycles,instructions,
1,0,fast,8224375,194224519,619205120,1358579107,
1,0,slow_a,8232250,2667475722,2889205274,6645259522,
1,0,slow_b,8290733,2160236711,3538319736,6545096641,
1,0,slow_c,8586606,1664735967,10428176327,5064501663,
1,0,slow_d,9235607,6168149044,27603510754,14574127193,
1,0,slow_e,503188290,1843824713,15273002681,5084555525,
1,0,slow_f,8259350,186114365,952308637,2132730998,
2,1,fast,8265910,191406451,901630825,1401461616,
2,1,slow_a,8409588,2650661569,3556446463,6571647663,
2,1,slow_b,16138563,2156651697,3892434601,6589525086,
2,1,slow_c,8588436,1662301048,11131486980,5077742891,
2,1,slow_d,9388147,6170005949,28003136252,14572828966,
2,1,slow_e,502762667,1834291498,14944585521,5139416971,
2,1,slow_f,8392417,193967799,1284123415,2163658256,
2,0,fast,7497676,188630425,971414533,1376112972,
2,0,slow_a,8307029,2681896656,3328276204,6604061853,
2,0,slow_b,102058368,2162812099,11913155620,6617857506,
2,0,slow_c,555266452,1509140757,82081834839,5125656650,
2,0,slow_d,1008542750,20512223216,169543091796,77559562291,
2,0,slow_e,557542184,1733028003,23469800033,5128658699,
2,0,slow_f,8416675,192700665,1237312572,2156453337,
